attendance,assignment_score,internal_marks,final_marks
98,14,23,83.48255567272307
88,11,15,65.44798476103482
74,14,19,71.69645844430885
67,20,30,99.66959515513418
80,9,11,55.34183270820115
98,13,18,79.33549967181533
78,20,30,100.0
82,19,29,97.86719054138065
70,13,21,68.41122090607207
70,16,25,81.31849017091744
83,16,25,87.62654367867825
95,15,21,88.22905929753462
99,20,30,100.0
83,16,24,84.12295782207065
62,18,27,92.61745817490132
81,16,24,86.23432043458853
61,9,17,59.37391448108468
83,11,14,70.25144425918916
89,12,17,75.53099609072333
97,14,22,84.30059042504058
61,20,30,99.77043422354795
80,16,23,85.58543943223454
92,15,19,80.39343458679076
71,19,28,95.45898894482627
81,11,17,64.49808683489667
84,14,22,85.87557195510335
86,13,19,74.03965632519252
87,16,24,95.69797940073772
75,18,25,95.75687162487773
74,16,25,84.03891290898096
62,16,24,79.91027405213431
96,14,21,83.19603931331005
66,16,24,86.44573570484467
80,12,18,73.57806743360669
68,17,27,88.66864408189008
98,13,20,82.07508244818068
77,12,14,65.67645411490976
63,15,23,84.0673637474409
84,9,13,61.914004270789384
73,19,27,93.93255938783444
68,17,28,90.66250206196699
85,16,22,83.57755861981812
61,10,13,55.984886487753094
79,13,15,70.97725695385813
87,15,25,86.1225013382163
66,14,23,76.16514698687676
67,10,14,50.58022737696319
94,11,18,67.57823380446132
73,14,17,72.92243985236375
76,11,17,64.54162515946784
95,19,27,100.0
99,16,27,97.75682246335835
63,13,20,71.65629523261153
61,19,29,95.32311619155719
65,18,25,94.48810965425565
63,16,22,81.53039755306577
88,15,24,92.13052656135005
77,14,19,71.06977222678164
85,13,18,75.79427809868238
93,11,19,68.3742665155111
69,20,30,100.0
95,13,17,79.41212623073105
73,15,24,83.52771765111142
90,12,17,67.69984911547078
74,14,17,77.45830095631719
67,20,29,99.82349083839503
73,13,17,65.9307247758131
82,19,29,100.0
99,15,21,83.71368090657377
80,17,26,92.88160901892991
75,19,30,100.0
77,16,29,99.86830254459731
83,14,25,88.06234530726303
85,14,21,78.63186822176083
84,15,22,87.38191824190052
100,20,29,100.0
88,11,13,63.89112961085634
74,10,10,49.246388935025315
60,10,13,57.45445522871178
84,12,21,76.34895844663384
66,17,29,95.5731804657303
68,17,26,90.53421976285833
83,13,20,74.10692313025265
60,15,21,79.9402282431343
67,12,18,65.95429521316333
83,12,16,71.11712218787768
70,17,24,92.54737967332508
76,18,28,99.89413737241945
67,14,20,74.23228790287357
94,20,30,100.0
94,18,27,98.17743418080777
92,20,30,100.0
64,14,22,78.00632792899641
98,20,30,100.0
100,20,27,100.0
87,14,20,76.72701212830282
66,15,22,77.14430967472855
68,12,18,71.61014816680927
67,12,19,67.56137394167047
71,12,18,64.4791073558245
93,13,17,79.87980022607086
92,16,25,88.6314158942576
82,13,19,76.51119403205155
83,16,23,88.1406372082362
96,16,22,87.67621640723544
94,14,20,78.85426452444322
99,15,21,86.12209619350436
81,13,22,77.31790490338626
86,14,20,71.97646584405192
94,13,21,77.7937642679795
60,15,19,76.30084270815853
94,13,21,79.36695367449586
96,12,19,73.83947531396173
73,17,23,83.98830650841113
